Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
gAAAAABkUtMftmGIPJ8256XH8F_cK7z63-LxYNonTEreaosKrKI6DRVBYyO_CeHi5B2vcPR9RbEx1FQqEuR0N6reKLcFzb_1UA==,gAAAAABkUtMfynAbtxDBqqSpg8s2VunsWJax2gWqLeY0mz0XuPSP7AY10apS1t2vOD8OdJTJxB5Gkb_YwpKspotN-HjlSpvwjQ==,actress (1927-2008),Female,United States of America,Artist,1927,2008,natural causes,81
gAAAAABkUtMfQ6guUOENTHIA1AThQjfnLYIqhznEqHJ_IQOoAO_cMFJgzLHEEx2bY_rR8miWb1Y8beOBQGKvRaHFKZ98aVDvpw==,gAAAAABkUtMfvIefOQp_JR-eUMA1GNlNsXiw2UM9u5DXFuTTL9r1C5qg8JuyG0RfB0C1f_c7MwI2N6VfOe2XqPTq3yavYyne8w==,German track cyclist,Male,Germany,Athlete,1961,2017,natural causes,56
gAAAAABkUtMgeS3uWYp7GV7N4USwnhD_06M_H0MNyj4ZxsWxy3DREQDgIZxK6WvolNUqn6_O2mLV1lF_clRb0pIOY2E8Cp1sbg==,gAAAAABkUtMgQGvgdOAsHf9EExzeNeVpCVxtaQHI5wOjc2enMS-NYwgMKOVd4E_EA0YdmtqTRE1bk1vy0fRbDDzc77sFcTckDQouE9F8b8X440UFFgEg3qw=,"German lawyer, Communist and member of the German Resistance",Male,Germany,Lawyer,1898,1939,capital punishment,41
gAAAAABkUtMgiG3u1mnazilYvDXzmxV2fnvL8lhbE-r_xuHFSlSP83kr528-JdTOOFwkBwrSITn29beOjZAzRSptLm-hHSAXWg==,gAAAAABkUtMgDzAGgw8sRIoObzLf6CRsIjU26jq6F4Q5R8iw75wqR2kJXtxBB5Vkx9Gol0gTR_JMFMQsBw6XCGxxKbml3xcPww==,"stage, film, and television actor",Male,United States of America; Austria,Artist,1913,1979,natural causes,66
gAAAAABkUtMggCKySJkMcoQWW4kpzlsqZy4PlupSAFAAL62Nb0_Gj86ApIedU6xWlZ4r-h7h05r05SlVhSj-O7egAvwsGOflSA==,gAAAAABkUtMg8tNXoBf9GaHeHHqDciwTtDzBPTJ_eXXKnVZ-MzQI50ogPGNxKz6-yYQkXMHfGBRFu8-6w1DPCDtV1R9UWHhsFw==,American fashion designer and gay activist,Male,United States of America; Austria,Costume designer; fashion designer; designer,1922,1985,natural causes,63
gAAAAABkUtMgst2CJeslZfkXkiG0moSGNv7F_GG2tuAL3W98gcP6CARZgbOk0vHLA8CuezQ6WTuur1D6oHGj-zLrMHqw6fO73Q==,gAAAAABkUtMgGCNhYlp_BBv9aBwQdnaKHUT9k1_JCrsOOSvFiAE3rEJQAomhSHQHGud_PnZurOeNoXJrMqAQ5HEPc8zlTyOitQ==,German Holocaust perpetrator,Male,Nazi Germany; Austria-Hungary,Physician,1911,1947,capital punishment,36
gAAAAABkUtMg5V8ClypBzXbCYGX2j5p_OC6m54G56XALKsXcKnWWh31MrsyN8aO4i-JUuiqTJJzogboUBc7chuY3iHPYadAVVw==,gAAAAABkUtMgxhzoi17rl6xU0NqQjz6p8nKT-kLUM-qWa_ig1v9VEVnz0KIqnT0mt3rizl8oUg2uCV9D2Fhm9LO_B8F-dD76Kg==,politician from Austria (1954-2014),Female,Austria,Politician,1954,2014,natural causes,60
gAAAAABkUtMgmT5C_qBGBaMTIsQ8Wy8P9YNOywjssPyC9i9VWVdGKhDIxT8u9Hq_HvuGM0EXTxv2zpcSpZbvjDU_8udkhkA0FQ==,gAAAAABkUtMgwyOrc5sEQpgqL__P5ilhSuQQIeSAhZzAUdQt1ibwQCtXsAl93j_cNcVHTzRYnBiV0C3wfEiUbfEMVhSw3L92rqcElhFKJL5XItkeFipme-Y=,"Austrian writer, librettist",Male,Austria-Hungary,Artist,1883,1942,homicide,59
gAAAAABkUtMg3OeeQUNQcqb1ZSo1ZSwzVTbYST7vjY8KirMPNisCkF0LDddoU_ntJ-1X5fAP1BOWb4YVUrsDrGQ62jCab7B9Ww==,gAAAAABkUtMgIh9hCPxmcunvIevVbmb8UZXuSuVJ4EmkSceysGw47bjDmxxvJaFCkZKc_-rbRmEbrdLRdszfvoWI0CuhZniENg==,Puerto Rican boxer,Male,Puerto Rico,Athlete,1962,2012,homicide,50
gAAAAABkUtMha5mEKu8pCoEZtLOiNKThG0Pnw22KrzsnRi4dy1838Ooku3V4azhSrM73-twbeqEPYc9WsGFTMY8aE5kakpiUEg==,gAAAAABkUtMhxIU2xHzXVN-jUNLdtYThfdoAN0nBO1vF1Q-aHmpt4VWI60n52Y0EK0a-A7E4rTJwabgCqzWE9CmCUkTwWQaKRw==,Italian naval hero,Male,Austria; Kingdom of Italy,Naval officer,1880,1916,capital punishment,36
gAAAAABkUtMh3S8nosPjsTrOi9oFKsuMTL1GKF-AtkbP_HZO03YfOc8iibEyleLW6gwMeqmWhHyrcpGabBwe19Ua4u2o_jPNYg==,gAAAAABkUtMhfIr0_lp3F7N3OQmrUrcm-Oc6bxzKJ8-zD2Wix6311HrFCVY1iLaX193lTB7RvaG2TnrtQvHNnzVdTdC_GpDJLg==,Czech Roma singer,Female,Czech Republic,Artist,1954,2019,natural causes,65
gAAAAABkUtMheLajsNp67bfcXJZEUAnzEVG2ZpTpcBTiyEvnrak5lbpGiMs4ZTLPyw0m4qJEZ7JM62LKVfhJ8VSrPHI7Gm2g2w==,gAAAAABkUtMhXyDal9_iLimR36TdjWNE_m5nqhsalM3xVzShMHiduhmN0vm4bsZfNPpBOKoEcmNroIbf8BlZ8jEGE1udKBJM3w==,Bulgarian writer (1895-1925),Male,Bulgaria,Artist,1895,1925,homicide,30
gAAAAABkUtMhE1iCE1XzgNpeh86KIQgGVJ7alnbQDm4xUcyQVIm8hXZzo0alpCCKZqoAs7tazhEcwXKbVIv-9dSiTwYKgLY05w==,gAAAAABkUtMhRCe7hu2CI1N7Bhjvwc9I1i0iqg9AnIz2Iv9SZ8AzkkpOdM3HOks4eu8prihIR21LXg_MkNXo5UMzCcG6Kn2bcQ==,German politician (1895-1940),Male,Germany,Politician,1895,1940,homicide,45
gAAAAABkUtMhM7_0QaceihrsY84O3sQhk7r8DGFGTWqn1p5VyiEN8y7J-9ERlDt7c3M4K_xq9GJZKtfXMQjfk2osQyy0wJdSsw==,gAAAAABkUtMhTYCMN2DlgOJWB04KzE-sUFvi5OKRCfhDWngNIIlrZKYvukm5RrUEOB2jm5Wyi1OQ5fZya75uJ-2H331ShHjgvg==,Austrian priest,Male,Austria,Religious figure,1894,1944,homicide,50
gAAAAABkUtMhmxwQSiEgm7DdmGgFBqwTxPamcDsK9V65ffI8a4SjzLJCT_k6FUsUXqrz1f1RhqOJEhjUQP8w3IqMDzvNkwNMJA==,gAAAAABkUtMhYduVCdaSByLhV0OWNjuMknWiDlHZQqqFDsoAY9o6PW8V2F9W0Lpamf5Ewa-rBla4hgYKThWTm6ku5GcqL6_JUg==,American children's writer,Male,United States of America,Artist,1898,1989,natural causes,91
gAAAAABkUtMh1erLt87jpZobOowESodscNYrWLckFx6E8Gw6QpNoLnfL08Cxpqesz6__XvLT8s1BFu4qs2EgWdjRr3GwFdAjew==,gAAAAABkUtMhtGJF7ck6bJyD2v1ZWGWxhpifxCHcfboZueK4Mak5V0LoGLhYaOiHhGKP82yo6vHv1N6ZYKEqqEiQ2ocoZH-DpA==,American sculptor,Male,Austria,Artist,1867,1915,accident,48
gAAAAABkUtMiYuUnh-wVs1TeZAIg6MvkSqdNh_t163c-cLp-vwKlCIk40ODIM-4KPI2zV74Kxv0qF-K_KUav9BvG2Icg2k6hyg==,gAAAAABkUtMiVB304uMC6Iw0fOnapxQ7Yca2-j_RYDvG1PBBuJz_CMuJrZicULW4hKTIpKmHlB0HgHOODV9nwg7Dpc2GTRgPXQ==,German actress,Female,Germany,Artist,1884,1958,natural causes,74
gAAAAABkUtMi9TBkU55wGWfgA7M2YqqFUpXKq65Rwyb_MZs5Ox-Hx9OZAA5Sp42AuDtzvAxpI0mdk-FkOBm_j6oCjY11QdUm7A==,gAAAAABkUtMifZv4mW37BVZiNRh3geUXuC8y_8sTK2uH3NsbsU3HLc6PVbCz6Woc6IiCYoWm7j98HjTZ54MkOQkIWYKqznhhkg==,Austrian-British musician and writer,Male,Austria; United Kingdom,Artist,1919,1985,natural causes,66
