Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
Q152941,George Irving,"American actor, director (1874-1961)",Male,United States of America,Artist,1874,1961,natural causes,87
Q152947,Alice Lake,actress (1895-1967),Female,United States of America,Artist,1895,1967,natural causes,72
Q152988,Jorge de Bagration,Spanish rally driver,Male,Spain; Georgia,Motorcycle racer; racing automobile driver; formula one driver; rally driver,1944,2008,natural causes,64
Q153008,Zoltán Kodály,"Hungarian composer, ethnomusicologist, pedagogue",Male,People's Republic of Hungary; Kingdom of Hungary,Artist,1882,1967,natural causes,85
Q153132,Władysław Sikorski,Polish military and political leader (1881-1943),Male,Poland,Politician,1881,1943,accident,62
Q153141,Scatman John,American musician,Male,United States of America,Artist,1942,1999,natural causes,57
Q153149,Lennart Meri,"Estonian writer, filmmaker and politician; President of Estonia in 1992–2001",Male,Estonia; Soviet Union,Researcher,1929,2006,natural causes,77
Q153238,Leó Szilárd,physicist and biologist,Male,Hungary; United States of America; Germany,Researcher,1898,1964,natural causes,66
Q153239,Al St. John,"American film actor, 1892–1963",Male,United States of America,Artist,1892,1963,natural causes,71
Q153244,Enid Bennett,actress (1893-1969),Female,Australia,Artist,1893,1969,natural causes,76
Q153246,Francisco Javier López Peña,ETA member,Male,Spain,Terrorist,1958,2013,natural causes,55
Q153248,Marguerite Duras,French writer and film director,Female,France,Artist,1914,1996,natural causes,82
Q153289,Tom Robinson,Bahamian sprinter,Male,Bahamas,Athlete,1938,2012,natural causes,74
Q153292,Ben Turpin,American actor,Male,United States of America,Artist,1869,1940,natural causes,71
Q153300,Paco de Lucía,"Spanish flamenco, classical, jazz guitarist & musician",Male,Spain,Artist,1947,2014,natural causes,67
Q153332,Mae Marsh,American actress (1894-1968),Female,United States of America,Artist,1894,1968,natural causes,74
Q153346,Mel Pritchard,British musician,Male,United Kingdom,Artist,1948,2004,natural causes,56
Q153358,Fanny Brice,"American actress, singer and comedian",Female,United States of America,Artist,1891,1951,natural causes,60
Q153421,Konstantin von Neurath,German general and Nazi war criminal (1873-1956),Male,Germany,Politician,1873,1956,natural causes,83
Q153501,Mae Busch,American actress (1891-1946),Female,United States of America; Australia,Artist,1891,1946,natural causes,55
Q153509,Makarios III,"Archbishop primate, primate & 1st President of Cyprus",Male,Republic of Cyprus,Politician,1913,1977,natural causes,64
Q153658,Hannah Chaplin,stage and musical actress,Female,United Kingdom,Artist,1865,1928,natural causes,63
Q153670,Primo Levi,"Italian chemist, partisan, Holocaust survivor, and writer (1919–1987)",Male,Italy; Kingdom of Italy,Researcher,1919,1987,suicide,68
Q153688,Umberto I of Italy,King of Italy,Male,Kingdom of Italy,Monarch,1844,1900,homicide,56
Q153689,Jason MacIntyre,Scottish racing cyclist,Male,United Kingdom,Athlete,1973,2008,accident,35
Q153700,Oriana Fallaci,Italian writer (1929-2006),Female,Italy; Kingdom of Italy,Artist,1929,2006,natural causes,77
Q153761,Elinor Ostrom,American political economist,Female,United States of America,Researcher,1933,2012,natural causes,79
Q153815,"Princess Margaret, Countess of Snowdon",younger daughter of King George VI and Queen Elizabeth The Queen Mother,Female,United Kingdom,Artist,1930,2002,natural causes,72
Q153905,Paul Celan,Romanian poet and translator,Male,France; Romania,Researcher,1920,1970,suicide,50
Q153920,Aristide Maillol,sculptor from France (1861-1944),Male,France,Artist,1861,1944,accident,83
Q154014,Georg Büchner,German dramatist and writer of poetry and prose,Male,Germany,Artist,1813,1837,natural causes,24
