,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
50404,Q321183,Lewis Powell,American Confederate Army soldier and Lincoln conspirator,Male,United States,Military personnel,1844,1865,capital punishment,21
50439,Q321344,Erland Josephson,Swedish actor and author,Male,Sweden,Artist,1923,2012,natural causes,89
50444,Q321378,Don Marquis,American writer,Male,United States,Artist,1878,1937,natural causes,59
50447,Q321392,Jim Valvano,American basketball player-coach,Male,United States,Athlete,1946,1993,natural causes,47
50449,Q321395,Humbert Balsan,French film producer (1954-2005),Male,France,Artist,1954,2005,suicide,51
50471,Q321498,Mordechaj Tenenbaum,Polish resistance fighter,Male,Poland,Activist,1916,1943,suicide,27
50485,Q321551,Eugenio Calò,"Jewish Italian Partisan, Gold Medal of Honor, Died at the San-Pollo massacre 3 days before the liberation of Arrezo by the British 8th Army.",Male,Italy,Partisan,1906,1944,capital punishment,38
50488,Q321573,Nile Kinnick,College football player (1918-1943),Male,United States,Athlete,1918,1943,accident,25
50489,Q321576,Jack Molinas,American basketball player,Male,United States,Athlete,1931,1975,homicide,44
50502,Q321625,Vincent Crane,self-taught pianist,Male,United Kingdom,Artist,1943,1989,suicide,46
50547,Q321776,Michio Watanabe,Japanese politician (1923-1995),Male,Japan,Politician,1923,1995,natural causes,72
50549,Q321781,Alfred Gwynne Vanderbilt I,American businessman,Male,United States,Businessperson,1877,1915,accident,38
50552,Q321801,Tommy Vance,presenter,Male,United Kingdom,Journalist,1940,2005,natural causes,65
50553,Q321806,Chris LeDoux,American singer,Male,United States,Artist,1948,2005,natural causes,57
50564,Q321864,Charlie Bell,Australian businessman,Male,Australia,Businessperson,1960,2005,natural causes,45
50565,Q321872,Jay Berwanger,"American football player, halfback, Heisman Trophy winner (1914-2002)",Male,United States,Athlete,1914,2002,natural causes,88
50573,Q321917,Spalding Gray,"actor, dramatist, playwright, screenwriter (1941-2004)",Male,United States,Artist,1941,2004,suicide,63
50576,Q321940,Dave Sime,"American Olympic sprinter, multi-sport athlete, and a pioneering ophthalmologist, who won a silver medal in the 100-meter dash at the 1960 Olympic Games",Male,United States,Athlete,1936,2016,natural causes,80
50577,Q321943,Richard Wattis,actor (1912-1975),Male,United Kingdom,Artist,1912,1975,natural causes,63
50580,Q321954,Rudolf Dittrich,Austrian musician (1861-1919),Male,Austria,Artist,1861,1919,natural causes,58
50586,Q321978,Lon McCallister,American actor (1923-2005),Male,United States,Artist,1923,2005,natural causes,82
50605,Q322080,Dinu Lipatti,"Pianist, Composer",Male,Romania,Artist,1917,1950,natural causes,33
50621,Q322172,Charles Mackerras,Australian conductor,Male,Australia,Artist,1925,2010,natural causes,85
50624,Q322179,Wallace Beery,American actor (1885-1949),Male,United States,Artist,1885,1949,natural causes,64
50639,Q322236,Roosevelt Sykes,American blues musician,Male,United States,Artist,1906,1983,natural causes,77
50663,Q322362,Vassal Gadoengin,Nauruan politician (1943-2004),Male,Nauru,Politician,1943,2004,natural causes,61
50664,Q322378,Sverre Holm,Norwegian actor (1931-2005),Male,Norway,Artist,1931,2005,natural causes,74
50670,Q322399,John Colicos,1928–2000; canadian actor,Male,Canada,Artist,1928,2000,natural causes,72
50674,Q322423,Martin Smith,"British musician, born 1946",Male,United Kingdom,Artist,1946,1997,natural causes,51
50688,Q322489,"Johnny ""Hammond"" Smith",American organist,Male,United States,Artist,1933,1997,natural causes,64
50689,Q322493,Reinhard Heß,ski jumping coach,Male,Germany,Athlete,1945,2007,natural causes,62
50692,Q322509,Stephen Elliott,American actor,Male,United States,Artist,1918,2005,natural causes,87
50706,Q322553,Abner Zwillman,American mob boss,Male,United States,Gangster; mobster,1904,1959,suicide,55
