Id,Name,Short description,Gender,Country,Birth year,Death year,Manner of death,Age of death
Q41871,Paul Newman,American actor and film director (1925–2008),Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q41921,Rosa Parks,African-American civil rights activist,Female,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q42013,Anwar Sadat,Egyptian president and Nobel Peace Prize recipient (1918-1981),Male,Egypt,[1900-1930],[1960-1990],homicide,[44-72]
Q42180,Israel Kamakawiwoʻole,Hawaiian recording artist musician,Male,United States,[1930-1960],[1990-2019],natural causes,[16-44]
Q42552,Wisława Szymborska,Polish poet Nobel Prize winner,Female,Poland,[1900-1930],[1990-2019],natural causes,[72-99]
Q42671,Frank Gorshin,American actor and comedian,Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q42745,Rita Hayworth,"American actress, dancer and director (1918-1987)",Female,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q42775,Johnny Cash,American singer songwriter and actor,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q42786,Audrey Hepburn,British-Dutch actress,Female,United Kingdom,[1900-1930],[1990-2019],natural causes,[44-72]
Q43067,Heinrich Himmler,German  politician; leader of the SS and main architect of the Holocaust (1900-1945),Male,Germany,[1900-1930],[1930-1960],suicide,[44-72]
Q43227,James Hilton,British writer,Male,United Kingdom,[1900-1930],[1930-1960],natural causes,[44-72]
Q43247,Ingrid Bergman,Swedish actress,Female,Sweden,[1900-1930],[1960-1990],natural causes,[44-72]
Q43303,Malcolm X,American human rights activist (1925-1965),Male,United States,[1900-1930],[1960-1990],homicide,[16-44]
Q43774,Gustl Bayrhammer,German actor,Male,Germany,[1900-1930],[1990-2019],natural causes,[44-72]
Q43831,Max Grießer,German actor (1928-2000),Male,Germany,[1900-1930],[1990-2019],suicide,[72-99]
Q43834,Clementina de Jesus,Brazilian singer,Female,Brazil,[1900-1930],[1960-1990],natural causes,[72-99]
Q43883,George Tobias,actor,Male,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q44071,Yuri Andropov,General-Secretary of the Communist Party of the Russia (1914-1984),Male,Russia,[1900-1930],[1960-1990],natural causes,[44-72]
Q44122,Django Reinhardt,Belgian-born Romani French jazz guitarist and composer,Male,Belgium,[1900-1930],[1930-1960],natural causes,[16-44]
Q44272,Michel Foucault,French philosopher,Male,France,[1900-1930],[1960-1990],natural causes,[44-72]
Q44274,Jörg Haider,Austrian politician (1950-2008),Male,Austria,[1930-1960],[1990-2019],accident,[44-72]
Q44290,Mihai Antonescu,Romanian politician (1904-1946),Male,Romania,[1900-1930],[1930-1960],capital punishment,[16-44]
Q44292,Chris Benoit,Canadian professional wrestler (1967-2007),Male,Canada,[1960-1990],[1990-2019],suicide,[16-44]
Q44301,Jim Morrison,American singer (1943-1971),Male,United States,[1930-1960],[1960-1990],natural causes,[16-44]
Q44315,Hide,Japanese musician,Male,Japan,[1960-1990],[1990-2019],suicide,[16-44]
Q44368,André the Giant,French professional wrestler and actor (1946-1993),Male,France,[1930-1960],[1990-2019],natural causes,[44-72]
